filename,doi,guest_molecule,KD_A,PLD_A,guest_composition,zeolite_name,std_zeolite_name,si_al_ratio,modified_ion,loading_value,loading_unit,diffusion_coefficient_value,diffusion_coefficient_unit,temperature_value,temperature_unit,concentration_value,concentration_unit,adsorption_loading_value,adsorption_loading_unit,pressure_value,pressure_unit,experimental_method,distinguishing_variable,method_type,method_category
10.3390_molecules24203652,10.3390/molecules24203652,caesium(1+),,2.8,,zeolite N,EDI-K,1,,,,3.90E-15,m2/s,298,K,,,,,,,Molecular Dynamics,membrane: ZM-001; system: K+/Cs+; measured_species: guest cation M^n+,Computational,MD
10.3390_molecules24203652,10.3390/molecules24203652,sodium(1+),,2.8,,zeolite N,EDI-K,1,,,,3.00E-15,m2/s,298,K,,,,,,,Molecular Dynamics,membrane: ZM-001; system: K+/Na+; measured_species: guest cation M^n+,Computational,MD
10.3390_molecules24203652,10.3390/molecules24203652,caesium(1+),,2.8,,zeolite N,EDI-K,1,,,,5.60E-16,m2/s,298,K,,,,,,,Molecular Dynamics,membrane: ZM-110; system: K+/Cs+; measured_species: guest cation M^n+,Computational,MD
10.3390_molecules24203652,10.3390/molecules24203652,lithium(1+),,2.8,,zeolite N,EDI-K,1,,,,3.10E-16,m2/s,298,K,,,,,,,Molecular Dynamics,membrane: ZM-001; system: K+/Li+; measured_species: guest cation M^n+,Computational,MD
10.3390_molecules24203652,10.3390/molecules24203652,lithium(1+),,2.8,,zeolite N,EDI-K,1,,,,2.30E-16,m2/s,298,K,,,,,,,Molecular Dynamics,membrane: ZM-110; system: K+/Li+; measured_species: guest cation M^n+,Computational,MD
10.3390_molecules24203652,10.3390/molecules24203652,potassium(1+),,2.8,,zeolite N,EDI-K,1,,,,2.10E-16,m2/s,298,K,,,,,,,Molecular Dynamics,membrane: ZM-001; system: K+/Na+; measured_species: host K+,Computational,MD
10.3390_molecules24203652,10.3390/molecules24203652,ammonium,2.86,2.8,,zeolite N,EDI-K,1,,,,1.10E-17,m2/s,298,K,,,,,,,Molecular Dynamics,membrane: ZM-001; system: K+/NH4+; measured_species: NH4+ (N center),Computational,MD
10.1021_acs.jpcc.0c08054,10.1021/acs.jpcc.0c08054,"1,2-dimethylbenzene",6.8,4.7,,MFI-type zeolite,MFI,,,,,1.90E-28,m2/s,353,K,,,,,,,Transition State Theory (TST),framework_flexibility: rigid,Computational,Other
10.1016_j.mcat.2026.116209,10.1016/j.mcat.2026.116209,"1,2-dimethylbenzene",6.8,4.0,,siliceous MCM-22,MWW,,,,,7.70E-24,m2/s,673,K,,,,,,,Kinetic Monte Carlo (kMC),direction: x,Computational,Other
10.1016_j.mcat.2026.116209,10.1016/j.mcat.2026.116209,"1,2-dimethylbenzene",6.8,4.0,,siliceous MCM-22,MWW,,,,,7.80E-24,m2/s,673,K,,,,,,,Kinetic Monte Carlo (kMC),direction: y,Computational,Other
10.1007_s10049-007-0890-y,10.1007/s10049-007-0890-y,polonium-209,,3.1,,clinoptilolite,HEU,4.66,,,,9.91E-23,m2/s,298,K,0.4,Bq/mL,,,,,Shell Progressive Model,,Experimental,Uptake/Release
10.1016_j.mcat.2026.116209,10.1016/j.mcat.2026.116209,"1,3-dimethylbenzene",6.8,4.0,,siliceous MCM-22,MWW,,,,,1.40E-21,m2/s,673,K,,,,,,,Kinetic Monte Carlo (kMC),direction: x,Computational,Other
10.1016_j.mcat.2026.116209,10.1016/j.mcat.2026.116209,"1,3-dimethylbenzene",6.8,4.0,,siliceous MCM-22,MWW,,,,,1.40E-21,m2/s,673,K,,,,,,,Kinetic Monte Carlo (kMC),direction: y,Computational,Other
10.1016_j.ces.2025.123086,10.1016/j.ces.2025.123086,carbon dioxide,3.3,7.4,,zeolite 13X@ZIF-8,FAU-NaX,,,,,1.97E-21,m2/s,298,K,,,58.36,mg/g,0.992,bar,Batch adsorption,model: Boyd; time: 1800 s,Experimental,Uptake/Release
10.1016_j.ces.2025.123086,10.1016/j.ces.2025.123086,carbon dioxide,3.3,7.4,,zeolite 13X@ZIF-8,FAU-NaX,,,,,2.31E-21,m2/s,298,K,,,264.75,mg/g,6.836,bar,Batch adsorption,model: Boyd; time: 2100 s,Experimental,Uptake/Release
10.1016_j.ces.2025.123086,10.1016/j.ces.2025.123086,carbon dioxide,3.3,7.4,,zeolite 13X@ZIF-8,FAU-NaX,,,,,2.45E-21,m2/s,298,K,,,174.5,mg/g,3.063,bar,Batch adsorption,model: Boyd; time: 2100 s,Experimental,Uptake/Release
10.1016_j.ces.2025.123086,10.1016/j.ces.2025.123086,carbon dioxide,3.3,7.4,,zeolite 13X@ZIF-8,FAU-NaX,,,,,2.47E-21,m2/s,298,K,,,220.93,mg/g,4.972,bar,Batch adsorption,model: Boyd; time: 1800 s,Experimental,Uptake/Release
10.1016_j.ces.2025.123086,10.1016/j.ces.2025.123086,carbon dioxide,3.3,7.4,,zeolite 13X@ZIF-8,FAU-NaX,,,,,2.47E-21,m2/s,298,K,,,261.33,mg/g,6.836,bar,Batch adsorption,model: Boyd; time: 1800 s,Experimental,Uptake/Release
10.1016_j.ces.2025.123086,10.1016/j.ces.2025.123086,carbon dioxide,3.3,7.4,,zeolite 13X@ZIF-8,FAU-NaX,,,,,2.62E-21,m2/s,298,K,,,226.9,mg/g,4.972,bar,Batch adsorption,model: Boyd; time: 2100 s,Experimental,Uptake/Release
10.1016_j.ces.2025.123086,10.1016/j.ces.2025.123086,carbon dioxide,3.3,7.4,,zeolite 13X@ZIF-8,FAU-NaX,,,,,2.80E-21,m2/s,298,K,,,174.07,mg/g,3.063,bar,Batch adsorption,model: Boyd; time: 1800 s,Experimental,Uptake/Release
10.1016_j.ces.2025.123086,10.1016/j.ces.2025.123086,carbon dioxide,3.3,7.4,,zeolite 13X@ZIF-8,FAU-NaX,,,,,2.82E-21,m2/s,298,K,,,218.79,mg/g,4.972,bar,Batch adsorption,model: Boyd; time: 1500 s,Experimental,Uptake/Release
10.1016_j.ces.2025.123086,10.1016/j.ces.2025.123086,carbon dioxide,3.3,7.4,,zeolite 13X@ZIF-8,FAU-NaX,,,,,2.83E-21,m2/s,298,K,,,293.54,mg/g,8.299,bar,Batch adsorption,model: Boyd; time: 2100 s,Experimental,Uptake/Release
